"Rk","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
46,"Cam Thomas",24,"BRK","SG",5,5,151,8.1,20.7,0.391,2.6,8.1,0.324,5.5,12.6,0.434,0.454,9.1,10.5,0.864,0.2,1.7,1.9,3.8,0.5,0.2,2.9,2.4,27.9,NA
47,"Nickeil Alexander-Walker",27,"ATL","SG",5,2,150,7,17,0.408,2.6,8.4,0.314,4.3,8.6,0.5,0.486,2.9,3.4,0.857,1,2.4,3.4,3.8,1.7,1.2,1.2,1.4,19.4,NA
48,"Dyson Daniels",22,"ATL","SG",5,5,150,2.6,8.4,0.314,0.2,0.7,0.333,2.4,7.7,0.313,0.329,1,1.9,0.5,1,5.5,6.5,3.6,2.6,0.7,2.2,4.1,6.5,NA
49,"Donte DiVincenzo",29,"MIN","SG",5,5,150,4.6,10.6,0.432,3.1,7.4,0.419,1.4,3.1,0.462,0.58,2.9,3.4,0.857,0.5,2.6,3.1,4.6,1.7,0.5,2.6,3.1,15.1,NA
50,"Anthony Davis",32,"DAL","PF",5,5,149,9.4,18.1,0.52,0.7,2.7,0.273,8.7,15.5,0.563,0.54,5.6,7.5,0.742,4.1,8.2,12.3,2.7,1.9,1.4,2.7,3.1,25.1,NA
51,"Brandin Podziemski",22,"GSW","SG",5,3,148,5.4,11.9,0.449,2.7,6.3,0.423,2.7,5.6,0.478,0.561,1.5,2.4,0.6,1.2,4.6,5.8,3.2,1.5,0.2,1.2,2.2,14.8,NA
52,"Max Christie",22,"DAL","SG",5,2,147,4.7,8.8,0.528,3.4,6.6,0.519,1.2,2.2,0.556,0.722,1.7,1.7,1,0,1.7,1.7,2.2,0.2,0.5,1.5,2,14.4,NA
53,"Mikal Bridges",29,"NYK","SF",4,4,146,6.4,11.8,0.542,2.2,4.7,0.474,4.2,7.2,0.586,0.635,2.7,3,0.917,1.7,4.9,6.7,4.4,1.5,0.7,0.7,3,17.8,NA
54,"Kevin Durant",37,"HOU","PF",4,4,145,8.7,16.6,0.522,1.7,4.7,0.368,7,11.9,0.583,0.575,8.2,9.7,0.846,0.2,5.5,5.7,2,1,1,2.2,3.7,27.3,NA
55,"Aaron Wiggins",27,"OKC","SG",5,2,144,6.8,15,0.45,3.2,8.5,0.382,3.5,6.5,0.538,0.558,1,1,1,2,4,6,3,0.2,1,1.7,2.7,17.7,NA
56,"Trey Murphy III",25,"NOP","SF",4,4,143,4.5,13.1,0.346,1.3,5.8,0.217,3.3,7.3,0.448,0.394,2.5,2.8,0.909,1.5,5.8,7.3,3.3,1,0,0.8,2.3,12.8,NA
57,"Pascal Siakam",31,"IND","PF",4,4,143,9.3,21.1,0.44,2.5,6,0.417,6.8,15.1,0.45,0.5,5.3,9.6,0.553,2,9.1,11.1,5.3,1.5,0.3,2,3,26.4,NA
58,"Jabari Smith Jr.",22,"HOU","PF",4,4,143,5.5,13.1,0.423,2.5,6.8,0.37,3,6.3,0.48,0.519,2.3,2.5,0.9,1.3,3.8,5,1.8,1.5,0.5,0.5,2.3,15.9,NA
59,"Jake LaRavia",24,"LAL","PF",5,2,142,4.6,8.6,0.529,2.3,4.6,0.5,2.3,4.1,0.563,0.662,1.8,3.5,0.5,1.8,4.1,5.8,3.3,0.8,0.3,1.8,3.3,13.2,NA
60,"Wendell Carter Jr.",26,"ORL","C",5,5,141,3.1,7.7,0.4,1,2,0.5,2,5.6,0.364,0.467,4.3,6.4,0.68,4.6,5.9,10.5,1.8,1.3,0.8,2.6,5.6,11.5,NA
61,"Draymond Green",35,"GSW","PF",5,5,141,4.3,8.7,0.5,2.3,5.1,0.45,2,3.6,0.571,0.632,1,2.3,0.444,0.8,6.6,7.4,9.2,1.3,0.8,3.6,5.1,12,NA
62,"Anfernee Simons",26,"BOS","SG",5,0,141,6.9,14.8,0.466,3.8,9.2,0.417,3.1,5.6,0.545,0.595,1.3,1.5,0.833,0.8,2.3,3.1,2,1.3,0.3,1.8,2.8,18.9,NA
63,"Ja Morant",26,"MEM","PG",5,5,140,10.3,23.7,0.435,1.3,6.7,0.192,9,17,0.53,0.462,8.2,8.5,0.97,0.5,4.4,4.9,8.5,1.3,0,3.6,2.1,30.1,NA
64,"Shaedon Sharpe",22,"POR","SG",5,5,139,7.5,23.1,0.326,2.3,9.8,0.237,5.2,13.2,0.392,0.376,4.7,4.7,1,1.6,4.1,5.7,2.1,2.1,0,4.7,3.1,22,NA
65,"Trae Young",27,"ATL","PG",5,5,139,6.7,18.1,0.371,1.3,6.7,0.192,5.4,11.4,0.477,0.407,8.3,10.1,0.821,0,2.6,2.6,10.1,1,0.3,2.6,2.3,23.1,NA
66,"Jalen Brunson",29,"NYK","PG",4,4,139,11.1,23.1,0.483,2.6,8.3,0.313,8.5,14.8,0.579,0.539,8,9.1,0.886,0.5,3.6,4.1,5.2,1.3,0,2.1,2.6,32.9,NA
67,"Ausar Thompson",23,"DET","SF",5,5,138,7.3,15.7,0.467,0.5,2.3,0.222,6.8,13.3,0.51,0.483,2.9,4.7,0.611,2.9,6.8,9.7,5.2,1.3,0.8,1.3,4.7,18,NA
68,"Keyonte George",22,"UTA","PG",4,4,138,6.5,15.4,0.424,1.6,7,0.222,5,8.3,0.594,0.475,8.6,8.9,0.971,0.3,2.6,2.9,9.7,1,0.3,4.4,2.9,23.2,NA
69,"Jerami Grant",31,"POR","PF",5,0,137,8.1,15.5,0.525,3.7,7.9,0.467,4.5,7.6,0.586,0.644,8.4,9.7,0.865,1.3,2.1,3.4,1.8,1.8,0.8,1.8,4.2,28.4,NA
70,"OG Anunoby",28,"NYK","PF",4,4,137,5,13.4,0.373,2.9,8.9,0.324,2.1,4.5,0.471,0.48,2.1,2.9,0.727,1.6,5.8,7.4,2.4,2.4,0.8,2.4,2.9,15,NA
71,"Chet Holmgren",23,"OKC","C",4,4,137,7.6,13.4,0.569,2.6,6.3,0.417,5,7.1,0.704,0.667,6.3,7.4,0.857,2.4,8.4,10.8,1.8,1.3,1.3,3.2,4.2,24.2,NA
72,"Nikola Jokić",30,"DEN","C",4,4,137,8.4,14.7,0.571,0.8,4.7,0.167,7.6,10,0.763,0.598,3.7,3.9,0.933,2.6,12.6,15.2,11.8,2.1,0.5,3.2,3.7,21.3,NA
73,"Devin Vassell",25,"SAS","SG",4,4,136,6.6,14.6,0.455,3.4,7.9,0.433,3.2,6.6,0.48,0.573,1.1,1.6,0.667,0.5,3.2,3.7,2.9,1.6,0,2.4,2.4,17.7,NA
74,"Jarrett Allen",27,"CLE","C",5,5,135,6.1,10.7,0.575,0,0.3,0,6.1,10.4,0.59,0.575,6.4,8,0.8,2.1,7.2,9.3,2.4,1.9,0.5,2.1,2.1,18.7,NA
75,"Karl-Anthony Towns",30,"NYK","C",4,4,135,5.1,14.4,0.352,1.9,5.6,0.333,3.2,8.8,0.364,0.417,6.1,7.2,0.852,3.5,10.9,14.4,2.1,0.8,1.1,3.7,4.3,18.1,NA
