"Rk","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
136,"Ryan Dunn",23,"PHO","SF",5,5,110,5.9,11.5,0.514,1.3,4.6,0.286,4.6,6.9,0.667,0.571,0,0.7,0,3.6,6.2,9.8,2.9,1,2,1.3,5.2,13.1,NA
137,"Alex Sarr",20,"WAS","C",4,4,110,10.5,19,0.552,1.3,3.6,0.364,9.2,15.4,0.596,0.586,3.3,3.9,0.833,2.6,8.8,11.5,5.9,1,2.6,3.9,2.6,25.5,NA
138,"Khris Middleton",34,"WAS","SF",4,4,109,6.9,14.5,0.477,1.7,4.6,0.357,5.3,9.9,0.533,0.534,3,4,0.75,2.3,5.3,7.6,3,1.3,0,2,4.6,18.5,NA
139,"Davion Mitchell",27,"MIA","PG",4,4,109,5,10.9,0.455,1,4.3,0.231,4,6.6,0.6,0.5,0.7,1.3,0.5,1,3,4,10.9,1,0.3,2,4,11.6,NA
140,"Ron Holland",20,"DET","SF",5,0,108,6.7,14.3,0.465,2.3,7,0.333,4.3,7.3,0.591,0.547,3.7,4.3,0.846,1,4.3,5.3,3,3.3,0.7,3.3,7,19.3,NA
141,"Herbert Jones",27,"NOP","SF",4,4,108,3.7,12.3,0.297,2,6,0.333,1.7,6.3,0.263,0.378,1.7,2,0.833,1.7,4.7,6.3,2,1.3,0.3,2.7,6.3,11,NA
142,"Svi Mykhailiuk",28,"UTA","SF",4,4,108,4.3,8,0.542,2.7,5.7,0.471,1.7,2.3,0.714,0.708,0.7,0.7,1,1.7,1.7,3.3,2.3,2,0,1.3,1.3,12,NA
143,"Isaiah Stewart",24,"DET","C",5,0,107,5.7,12.8,0.447,2.4,4,0.583,3.4,8.7,0.385,0.539,1.7,3.4,0.5,4.4,6.7,11.1,2.4,0.7,3.4,1.7,6.7,15.5,NA
144,"A.J. Green",26,"MIL","SG",4,4,107,5.4,8.4,0.64,4.4,7.4,0.591,1,1,1,0.9,1.3,1.7,0.8,0,3.4,3.4,1,0.3,0,1.7,4.4,16.5,NA
145,"Tre Johnson",19,"WAS","SG",4,0,107,7.4,16.5,0.449,3.7,9.4,0.393,3.7,7.1,0.524,0.561,1.3,1.3,1,1.7,3,4.7,2.7,0.3,1,1.7,3.4,19.9,NA
146,"Collin Sexton",27,"CHO","SG",4,3,107,8.4,14.5,0.581,2,3.4,0.6,6.4,11.1,0.576,0.651,6.1,7.4,0.818,0.3,3,3.4,6.4,1.3,0,3,3.4,24.9,NA
147,"Ryan Kalkbrenner",24,"CHO","C",4,4,106,6.5,7.1,0.905,0,0,NA,6.5,7.1,0.905,0.905,0,0,NA,4.8,5.1,9.8,1,1.4,1.4,2,3.7,12.9,NA
148,"Noah Clowney",21,"BRK","PF",5,0,105,2.4,9.6,0.25,1.4,6.9,0.2,1,2.7,0.375,0.321,2.7,3.1,0.889,1.7,4.5,6.2,2.7,0.3,0,2.1,1.7,8.9,NA
149,"Klay Thompson",35,"DAL","SF",5,5,104,5.2,16.6,0.313,2.4,9.3,0.259,2.8,7.3,0.381,0.385,1.4,1.4,1,0.3,4.8,5.2,2.4,0.3,0.7,2.1,1.4,14.2,NA
150,"Jeremiah Fears",19,"NOP","PG",4,2,104,8,15.2,0.523,0.3,3.1,0.111,7.6,12.1,0.629,0.534,2.1,3.1,0.667,1,1.4,2.4,3.8,1.7,0,3.1,3.1,18.3,NA
151,"Dylan Harper",19,"SAS","SG",4,0,104,7.6,15.9,0.478,1,3.1,0.333,6.6,12.8,0.514,0.511,4.2,4.8,0.857,1.4,5.9,7.3,6.6,1.4,0,2.8,5.9,20.4,NA
152,"D'Angelo Russell",29,"DAL","PG",5,0,103,5.9,18.2,0.327,1.4,7.7,0.182,4.5,10.5,0.433,0.365,5.6,8,0.696,0.7,3.8,4.5,9.4,1.4,0.3,3.1,2.1,18.9,NA
153,"Cameron Johnson",29,"DEN","PF",4,4,103,3.5,9.1,0.385,1.7,5.6,0.313,1.7,3.5,0.5,0.481,2.4,2.8,0.875,0.7,2.8,3.5,2.1,0.7,0,1.4,4.5,11.2,NA
154,"Sam Merrill",29,"CLE","SG",4,4,103,7.3,14,0.525,6.3,12.2,0.514,1,1.7,0.6,0.75,3.1,3.1,1,1,1.7,2.8,2.8,1,0.3,1.7,4.9,24.1,NA
155,"Tristan Da Silva",24,"ORL","SF",5,0,102,6.7,14.1,0.475,2.8,7.8,0.364,3.9,6.4,0.611,0.575,2.8,3.5,0.8,1.4,3.9,5.3,1.8,1.4,0.4,0.7,1.1,19.1,NA
156,"John Collins",28,"LAC","PF",4,0,102,6.4,10.9,0.581,0.7,2.1,0.333,5.6,8.8,0.64,0.613,2.5,3.5,0.7,3.2,6,9.2,1.4,2.1,1.1,3.5,2.1,15.9,NA
157,"Kevin Huerter",27,"CHI","SG",4,0,102,7.1,13.1,0.541,2.1,6.4,0.333,4.9,6.7,0.737,0.622,4.6,5.3,0.867,1.1,4.6,5.6,4.2,0.7,1.1,1.8,3.9,20.8,NA
158,"Saddiq Bey",26,"NOP","SF",4,1,101,5,13.2,0.378,3.2,7.8,0.409,1.8,5.3,0.333,0.5,1.1,2.1,0.5,2.1,2.9,5,2.5,1.8,0,1.1,0.7,14.3,NA
159,"Ayo Dosunmu",26,"CHI","SG",4,0,101,7.8,15,0.524,3.2,6.4,0.5,4.6,8.6,0.542,0.631,2.1,2.5,0.857,1.1,2.9,3.9,2.5,0,0,0.7,2.5,21,NA
160,"Mike Conley",38,"MIN","PG",5,2,100,2.9,9.4,0.308,1.8,5,0.357,1.1,4.3,0.25,0.404,2.2,2.2,1,1.1,3.2,4.3,5.4,1.8,1.1,2.5,4,9.7,NA
161,"Tari Eason",24,"HOU","PF",4,0,99,6.2,12.4,0.5,2.9,5.5,0.533,3.3,6.9,0.474,0.618,0.4,1.1,0.333,1.5,6.2,7.6,4,1.1,0.7,3.6,2.5,15.6,NA
162,"Keon Ellis",26,"SAC","SG",5,1,98,5.1,10.7,0.483,2.2,6.2,0.353,2.9,4.4,0.667,0.586,1.8,2.9,0.625,0.4,2.9,3.3,1.1,3.3,0.4,1.1,4.4,14.3,NA
163,"Steven Adams",32,"HOU","C",4,2,98,3.7,5.5,0.667,0,0,NA,3.7,5.5,0.667,0.667,4,4.4,0.917,8.8,7,15.8,2.2,1.5,0.7,2.2,3.7,11.4,NA
164,"Keldon Johnson",26,"SAS","SF",4,0,97,6.7,10.4,0.643,1.9,3.3,0.556,4.8,7.1,0.684,0.732,2.6,3.3,0.778,4.5,5.2,9.6,1.5,1.1,0,0.4,3.7,17.8,NA
165,"Nikola Jović",22,"MIA","PF",4,1,97,5.2,10.8,0.483,3,7.1,0.421,2.2,3.7,0.6,0.621,3.3,3.7,0.9,0.7,6.7,7.4,4.1,0.7,0.4,2.2,2.6,16.7,NA
166,"Isaac Okoro",25,"CHI","SG",4,4,97,3,9.3,0.32,0.7,4.1,0.182,2.2,5.2,0.429,0.36,0.4,0.4,1,1.5,3.3,4.8,2.6,0.4,0.7,2.2,5.2,7.1,NA
167,"Zion Williamson",25,"NOP","PF",3,3,97,8.2,17.4,0.468,0,0,NA,8.2,17.4,0.468,0.468,7.8,11.9,0.656,3.7,3.3,7.1,5.2,3.3,0.4,3.7,2.2,24.1,NA
168,"Taurean Prince",31,"MIL","SF",4,0,96,4.1,7.1,0.579,3,4.9,0.615,1.1,2.3,0.5,0.789,0,0,NA,0,2.6,2.6,2.3,1.9,0.7,1.5,3.7,11.3,NA
169,"Mark Williams",24,"PHO","C",4,1,96,8.2,13.5,0.611,0,0,NA,8.2,13.5,0.611,0.611,3.4,4.1,0.818,5.2,9.7,15,0.4,2.3,1.1,1.1,4.9,19.9,NA
170,"Lonzo Ball",28,"CLE","PG",4,0,94,2.3,8.8,0.261,1.5,6.9,0.222,0.8,1.9,0.4,0.348,1.1,1.9,0.6,1.5,4.2,5.7,9.2,1.5,0,4.2,0.8,7.3,NA
171,"Tim Hardaway Jr.",33,"DEN","SG",4,0,94,6.1,11.9,0.516,3.8,8,0.476,2.3,3.8,0.6,0.677,1.1,1.5,0.75,0.4,1.1,1.5,1.5,0.8,0,0.4,3.4,17.2,NA
172,"Goga Bitadze",26,"ORL","C",5,0,93,4.6,6.2,0.75,0,0.8,0,4.6,5.4,0.857,0.75,1.9,3.5,0.556,4.3,7.7,12,3.9,0.8,1.5,1.2,3.9,11.2,NA
173,"Norman Powell",32,"MIA","SG",3,3,93,8.1,17,0.477,3.5,7,0.5,4.6,10.1,0.462,0.58,8.1,8.9,0.913,1.2,7.4,8.5,3.5,2.3,0.4,2.3,3.5,27.9,NA
174,"Josh Okogie",27,"HOU","SG",4,2,92,4.3,6.7,0.647,2.3,3.9,0.6,2,2.7,0.714,0.824,3.9,4.7,0.833,1.2,1.6,2.7,2,0.8,0.4,0.8,3.9,14.9,NA
175,"Jakob Poeltl",30,"TOR","C",4,4,92,5.1,8.6,0.591,0,0,NA,5.1,8.6,0.591,0.591,0,2,0,3.9,4.3,8.2,3.5,0.4,0.8,3.1,7.4,10.2,NA
176,"Ben Saraf",19,"BRK","SG",5,5,91,2,9.1,0.217,0.8,4.7,0.167,1.2,4.4,0.273,0.261,1.6,2.4,0.667,0.4,4,4.4,6.3,0.8,0,3.2,5.1,6.3,NA
177,"Kris Dunn",31,"LAC","PG",4,0,91,4.4,9.1,0.478,1.6,4,0.4,2.8,5.1,0.538,0.565,0.8,0.8,1,2.4,2.8,5.1,1.2,1.6,0,2,2.8,11.1,NA
178,"Dillon Brooks",30,"PHO","SF",3,3,91,8.7,23.3,0.373,3.6,12.3,0.29,5.1,11.1,0.464,0.449,2,2,1,1.6,2.4,4,2.8,3.2,0.8,2.8,5.1,22.9,NA
179,"Tyrese Martin",26,"BRK","SG",5,0,90,5.2,13.2,0.394,2.8,8,0.35,2.4,5.2,0.462,0.5,1.2,1.2,1,3.2,3.6,6.8,4.8,0.8,0,1.6,1.6,14.4,NA
180,"Terrence Shannon Jr.",25,"MIN","SG",5,0,90,3.2,9.6,0.333,1.6,3.6,0.444,1.6,6,0.267,0.417,0.8,1.2,0.667,1.2,4.8,6,2.8,1.6,0,2.4,4,8.8,NA
181,"Reed Sheppard",21,"HOU","PG",4,0,90,5.6,16,0.35,3.2,8.8,0.364,2.4,7.2,0.333,0.45,1.6,2,0.8,1.2,4,5.2,5.6,2,0.8,2.8,2,16,NA
182,"Javon Small",23,"MEM","PG",5,0,89,3.6,10.5,0.346,2.4,7.3,0.333,1.2,3.2,0.375,0.462,3.2,4,0.8,0.4,2.4,2.8,8.5,0,0.4,2.8,2.4,12.9,NA
183,"Josh Minott",23,"BOS","SF",4,2,89,5.7,9.7,0.583,1.6,4.9,0.333,4,4.9,0.833,0.667,2.4,2.8,0.857,3.6,6.9,10.5,2.4,2.8,0.8,0.4,4.9,15.4,NA
184,"Oso Ighodaro",23,"PHO","PF",5,4,88,4.5,9.8,0.458,0,0,NA,4.5,9.8,0.458,0.458,0.8,2.5,0.333,0.8,5.7,6.5,2.5,0,0.8,2.5,5.7,9.8,NA
185,"Sandro Mamukelashvili",26,"TOR","PF",5,0,88,6.5,9.8,0.667,1.6,3.3,0.5,4.9,6.5,0.75,0.75,2.5,3.7,0.667,0.4,3.3,3.7,4.5,0.4,0.4,1.6,4.9,17.2,NA
186,"Blake Wesley",22,"POR","SG",5,0,88,4.9,11.9,0.414,0.8,3.7,0.222,4.1,8.2,0.5,0.448,2,3.3,0.625,0.8,4.9,5.7,7,3.3,0.4,2.9,5.7,12.7,NA
187,"Derrick Jones Jr.",28,"LAC","SF",4,4,87,5.8,9.1,0.636,2.9,6.2,0.467,2.9,2.9,1,0.795,0.4,0.8,0.5,1.2,2.5,3.7,1.7,0.8,1.2,1.2,4.6,14.9,NA
188,"Kris Murray",25,"POR","SF",4,0,87,3.7,7,0.529,0.8,2.5,0.333,2.9,4.6,0.636,0.588,0.8,0.8,1,1.7,2.1,3.7,0.8,2.1,0.4,0.8,2.1,9.1,NA
189,"Patrick Williams",24,"CHI","PF",4,0,87,5.4,9.9,0.542,2.9,5.8,0.5,2.5,4.1,0.6,0.688,1.7,2.9,0.571,0.4,5.8,6.2,2.5,1.2,0.8,1.7,2.9,15.3,NA
190,"Kyle Filipowski",22,"UTA","C",4,4,86,4.6,11.7,0.393,2.1,6.3,0.333,2.5,5.4,0.462,0.482,1.3,2.1,0.6,2.9,5.4,8.4,5.4,0.4,0.4,1.3,5.9,12.6,NA
191,"Buddy Hield",33,"GSW","SG",5,0,85,5.9,14.8,0.4,2.5,10.2,0.25,3.4,4.7,0.727,0.486,1.3,1.3,1,0.8,2.5,3.4,3,1.3,0,1.7,2.1,15.7,NA
192,"Day'Ron Sharpe",24,"BRK","C",5,0,85,7.2,9.7,0.739,0.8,2.5,0.333,6.4,7.2,0.882,0.783,2.1,3,0.714,5.1,6.4,11.4,4.2,2.1,1.7,5.5,7.2,17.4,NA
193,"Derik Queen",21,"NOP","C",4,0,85,5.1,11.4,0.444,0,1.3,0,5.1,10.2,0.5,0.444,4.2,5.9,0.714,2.5,6.8,9.3,0.4,1.3,1.3,2.1,6.4,14.4,NA
194,"Kel'el Ware",21,"MIA","C",4,3,85,7.2,14.4,0.5,2.1,5.5,0.385,5.1,8.9,0.571,0.574,2.5,3.4,0.75,4.7,8,12.7,0.8,1.3,0.8,2.5,3,19.1,NA
195,"RayJ Dennis",24,"IND","PG",3,0,85,5.1,13.1,0.387,3,7.2,0.412,2.1,5.9,0.357,0.5,2.1,2.5,0.833,2.1,1.7,3.8,6.8,0.8,1.3,2.5,4.7,15.2,NA
196,"Craig Porter Jr.",25,"CLE","PG",5,0,84,5.1,9,0.571,2.1,4.7,0.455,3,4.3,0.7,0.69,1.3,2.1,0.6,2.6,3.4,6,4.7,3,0,1.7,1.3,13.7,NA
197,"Corey Kispert",26,"WAS","SF",4,0,84,5.1,10.7,0.48,2.6,7.7,0.333,2.6,3,0.857,0.6,0.4,1.7,0.25,0,4.7,4.7,2.6,0.4,0.4,0.9,2.1,13.3,NA
198,"Gradey Dick",22,"TOR","SG",5,0,83,4.8,13.4,0.355,2.2,6.9,0.313,2.6,6.5,0.4,0.435,5.6,6.9,0.813,1.7,4.3,6.1,0.9,1.3,0,0.4,1.7,17.3,NA
199,"Peyton Watson",23,"DEN","SF",4,0,83,3.9,5.2,0.75,0.9,0.9,1,3,4.3,0.7,0.833,2.6,2.6,1,0.9,3.9,4.8,3.5,1.3,2.6,2.2,2.2,11.3,NA
200,"Mouhamed Gueye",23,"ATL","PF",5,1,82,6.6,12.3,0.536,2.2,6.1,0.357,4.4,6.1,0.714,0.625,0.9,2.6,0.333,3.1,4.8,7.9,3.1,0.4,1.8,2.2,4,16.2,NA
201,"Jamal Shead",23,"TOR","PG",5,0,82,4.4,11.4,0.385,2.2,5.3,0.417,2.2,6.1,0.357,0.481,3.1,4,0.778,0.4,2.2,2.6,11.4,1.3,0,2.6,3.5,14,NA
202,"Egor Demin",19,"BRK","PG",4,0,82,4,9.7,0.409,4,9.7,0.409,0,0,NA,0.614,1.3,1.8,0.75,1.3,5.7,7,4.4,0.9,0,3.5,4.8,13.2,NA
203,"Tre Mann",24,"CHO","PG",4,0,82,3.5,14.5,0.242,1.8,7.9,0.222,1.8,6.6,0.267,0.303,1.8,2.2,0.8,1.3,4.4,5.7,5.7,1.8,0,3.5,3.5,10.5,NA
204,"Obi Toppin",27,"IND","PF",3,0,82,6.6,15.8,0.417,1.3,7.5,0.176,5.3,8.3,0.632,0.458,4,4,1,1.3,7.5,8.8,2.2,1.3,0,2.6,3.1,18.4,NA
205,"Javonte Green",32,"DET","SG",5,0,81,4,12,0.333,2.2,5.3,0.417,1.8,6.7,0.267,0.426,0.9,1.3,0.667,1.8,3.6,5.3,2.2,1.8,0.4,0.9,2.2,11.1,NA
206,"Dalton Knecht",24,"LAL","SF",4,0,81,5.8,12.9,0.448,1.3,7.1,0.188,4.4,5.8,0.769,0.5,1.8,2.2,0.8,0,2.7,2.7,0.9,1.3,1.8,1.8,1.3,14.7,NA
207,"De'Andre Hunter",28,"CLE","SF",3,3,81,6.7,18.2,0.366,2.7,9.8,0.273,4,8.4,0.474,0.439,4.9,5.8,0.846,1.3,5.3,6.7,4.4,0.4,0,1.8,3.6,20.9,NA
208,"Jaylin Williams",23,"OKC","PF",5,0,80,3.6,10.4,0.348,1.4,8.1,0.167,2.3,2.3,1,0.413,0.9,0.9,1,0.9,6.8,7.7,3.6,1.8,0.9,2.7,4.1,9.5,NA
209,"Moussa Diabaté",24,"CHO","C",4,0,80,6.3,9.9,0.636,0,0,NA,6.3,9.9,0.636,0.636,5,8.1,0.611,4.1,6.3,10.4,0.5,0.9,2.3,1.8,4.1,17.6,NA
210,"Simone Fontecchio",30,"MIA","SF",4,0,80,8.6,14,0.613,5,9,0.55,3.6,5,0.727,0.79,0.9,1.4,0.667,0.9,3.6,4.5,3.2,1.4,0.5,1.4,4.5,23,NA
211,"Sion James",23,"CHO","SG",4,0,79,5,7.7,0.647,3.2,4.1,0.778,1.8,3.6,0.5,0.853,1.8,1.8,1,1.4,2.7,4.1,2.7,1.4,0.9,0.5,0.9,15,NA
63,"Ja Morant",26,"MEM","PG",5,5,140,10.3,23.7,0.435,1.3,6.7,0.192,9,17,0.53,0.462,8.2,8.5,0.97,0.5,4.4,4.9,8.5,1.3,0,3.6,2.1,30.1,NA
78,"Jamal Murray",28,"DEN","PG",4,4,134,10.7,21.5,0.5,3.2,7.8,0.414,7.5,13.7,0.549,0.575,4.3,4.6,0.941,0.8,3.8,4.6,6.4,1.3,0,2.1,1.6,29,NA
7,"Rui Hachimura",27,"LAL","PF",5,5,181,6.6,10.9,0.6,1.6,4,0.4,5,7,0.714,0.673,1.8,2.4,0.75,0.8,3.2,4,2,0.4,0.2,1.8,2.4,16.5,NA
52,"Max Christie",22,"DAL","SG",5,2,147,4.7,8.8,0.528,3.4,6.6,0.519,1.2,2.2,0.556,0.722,1.7,1.7,1,0,1.7,1.7,2.2,0.2,0.5,1.5,2,14.4,NA
40,"Onyeka Okongwu",25,"ATL","C",5,2,155,7,12.8,0.545,1.4,3.9,0.353,5.6,8.8,0.632,0.6,2.3,3.7,0.625,2.1,8.6,10.7,2.8,0.7,1.2,0.5,4.2,17.7,NA
206,"Dalton Knecht",24,"LAL","SF",4,0,81,5.8,12.9,0.448,1.3,7.1,0.188,4.4,5.8,0.769,0.5,1.8,2.2,0.8,0,2.7,2.7,0.9,1.3,1.8,1.8,1.3,14.7,NA
150,"Jeremiah Fears",19,"NOP","PG",4,2,104,8,15.2,0.523,0.3,3.1,0.111,7.6,12.1,0.629,0.534,2.1,3.1,0.667,1,1.4,2.4,3.8,1.7,0,3.1,3.1,18.3,NA
3,"Zach LaVine",30,"SAC","SG",5,5,183,10.4,19.3,0.541,3.1,8.3,0.381,7.3,11,0.661,0.622,4.7,4.9,0.96,0.2,2.8,3,1.6,0.4,0.2,2.2,1.8,28.7,NA
194,"Kel'el Ware",21,"MIA","C",4,3,85,7.2,14.4,0.5,2.1,5.5,0.385,5.1,8.9,0.571,0.574,2.5,3.4,0.75,4.7,8,12.7,0.8,1.3,0.8,2.5,3,19.1,NA
37,"Dennis Schröder",32,"SAC","PG",5,5,158,6.2,14.8,0.415,1.6,5.5,0.292,4.6,9.3,0.488,0.469,0.2,0.2,1,0.5,3,3.4,7.3,1.8,0.5,3,2.7,14.1,NA
113,"Neemias Queta",26,"BOS","C",5,5,121,5.4,8.9,0.6,0,0.3,0,5.4,8.6,0.621,0.6,2.7,3.9,0.692,5.7,7.7,13.4,2.1,1.5,2.4,2.4,5.4,13.4,NA
140,"Ron Holland",20,"DET","SF",5,0,108,6.7,14.3,0.465,2.3,7,0.333,4.3,7.3,0.591,0.547,3.7,4.3,0.846,1,4.3,5.3,3,3.3,0.7,3.3,7,19.3,NA
77,"Jaylen Wells",22,"MEM","SG",5,5,134,4,11.8,0.341,2.1,8.1,0.267,1.9,3.8,0.5,0.432,2.4,3.5,0.692,0.5,3.2,3.8,2.1,1.1,0,1.3,3,12.6,NA
169,"Mark Williams",24,"PHO","C",4,1,96,8.2,13.5,0.611,0,0,NA,8.2,13.5,0.611,0.611,3.4,4.1,0.818,5.2,9.7,15,0.4,2.3,1.1,1.1,4.9,19.9,NA
33,"Michael Porter Jr.",27,"BRK","SF",5,5,160,9.7,19.1,0.506,3.6,8.8,0.41,6.1,10.4,0.587,0.6,1.4,2,0.667,0.9,6.1,7,3.6,0.7,0.2,2,2.5,24.3,NA
148,"Noah Clowney",21,"BRK","PF",5,0,105,2.4,9.6,0.25,1.4,6.9,0.2,1,2.7,0.375,0.321,2.7,3.1,0.889,1.7,4.5,6.2,2.7,0.3,0,2.1,1.7,8.9,NA
151,"Dylan Harper",19,"SAS","SG",4,0,104,7.6,15.9,0.478,1,3.1,0.333,6.6,12.8,0.514,0.511,4.2,4.8,0.857,1.4,5.9,7.3,6.6,1.4,0,2.8,5.9,20.4,NA
82,"Nic Claxton",26,"BRK","C",5,5,132,7.6,14.2,0.538,0,0.8,0,7.6,13.4,0.571,0.538,1.4,2.2,0.625,4.1,4.6,8.7,3.3,1.1,0.3,1.4,4.4,16.6,NA
5,"Luguentz Dort",26,"OKC","SF",5,5,182,2.4,8.5,0.279,1,5.5,0.179,1.4,3,0.467,0.337,1.6,1.6,1,1.6,3.6,5.1,2,1,0,1,3,7.3,NA
23,"Jaylen Brown",29,"BOS","SF",5,5,163,10.4,19.9,0.522,3.3,7.1,0.469,7.1,12.8,0.552,0.606,5.5,7.3,0.758,0.4,5.7,6.2,4.2,0.4,0.4,4,4.6,29.6,NA
